year,annual_poverty-level_wage,hourly_poverty-level_wage,0-75%_of_poverty_wages,75-100%_of_poverty_wages,share_below_poverty_wages,100-125%_of_poverty_wages,125-200%_of_poverty_wages,200-300%_of_poverty_wages,300%+_of_poverty_wages,men_0-75%_of_poverty_wages,men_75-100%_of_poverty_wages,men_share_below_poverty_wages,men_100-125%_of_poverty_wages,men_125-200%_of_poverty_wages,men_200-300%_of_poverty_wages,men_300%+_of_poverty_wages,women_0-75%_of_poverty_wages,women_75-100%_of_poverty_wages,women_share_below_poverty_wages,women_100-125%_of_poverty_wages,women_125-200%_of_poverty_wages,women_200-300%_of_poverty_wages,women_300%+_of_poverty_wages,white_share_below_poverty_wages,white_men_share_below_poverty_wages,white_women_share_below_poverty_wages,black_share_below_poverty_wages,black_men_share_below_poverty_wages,black_women_share_below_poverty_wages,hispanic_share_below_poverty_wages,hispanic_men_share_below_poverty_wages,hispanic_women_share_below_poverty_wages
2022,27733,13.33,4.7,7.5,12.2,15.2,32.7,19.5,20.4,3.7,6.0,9.7,13.0,32.6,20.9,23.9,5.8,9.1,14.9,17.6,32.9,18.0,16.7,10.7,8.1,13.5,16.2,14.5,17.7,15.4,12.3,19.2
2021,25688,12.35,3.8,9.1,12.9,15.0,30.3,20.4,21.5,3.0,7.4,10.5,13.0,29.7,21.5,25.3,4.6,10.9,15.6,17.1,30.9,19.1,17.4,11.1,8.7,13.8,18.0,15.7,19.9,16.8,14.2,20.0
2020,24544,11.8,3.4,8.6,12.0,13.0,31.5,20.8,22.6,2.6,6.9,9.5,11.0,31.0,21.9,26.7,4.4,10.5,14.8,15.2,32.1,19.7,18.1,10.4,7.9,13.1,18.1,15.4,20.5,14.9,12.0,18.6
2019,24242,11.65,4.4,11.3,15.7,14.2,31.2,18.7,20.3,3.3,9.2,12.5,12.4,30.9,19.9,24.2,5.5,13.5,19.0,16.2,31.4,17.4,16.0,13.4,10.5,16.6,22.3,19.2,24.9,19.7,15.8,24.6
2018,23809,11.45,5.0,13.0,18.1,14.2,29.3,19.1,19.4,3.9,10.5,14.4,12.7,29.1,20.5,23.3,6.2,15.8,22.0,15.7,29.5,17.6,15.2,15.0,11.6,18.7,26.0,23.1,28.5,24.3,19.3,30.7
2017,23244,11.18,5.1,15.3,20.4,12.0,29.8,18.4,19.4,4.0,12.8,16.8,10.8,29.4,19.6,23.4,6.3,18.0,24.3,13.2,30.3,17.0,15.1,16.8,13.4,20.5,29.1,26.4,31.4,28.5,23.7,34.8
2016,22755,10.94,5.6,15.2,20.8,13.2,28.4,18.8,18.9,4.5,12.8,17.2,12.0,27.9,20.3,22.6,6.7,17.9,24.6,14.5,28.9,17.1,14.9,17.3,14.0,20.8,28.8,25.1,32.0,29.2,24.7,35.1
2015,22464,10.8,6.7,16.3,23.0,13.0,27.1,18.7,18.2,5.3,14.0,19.3,11.9,26.9,20.0,21.9,8.2,18.7,27.0,14.2,27.3,17.3,14.2,18.9,15.2,22.9,31.8,28.3,34.8,33.5,29.1,39.2
2014,22422,10.78,8.2,16.2,24.4,12.3,27.7,18.7,16.9,6.6,14.0,20.5,11.2,27.9,20.0,20.3,10.0,18.5,28.5,13.6,27.5,17.2,13.2,20.2,16.0,24.6,32.4,30.2,34.3,36.2,31.7,42.1
2013,22048,10.6,6.4,18.6,25.0,12.2,27.5,18.0,17.3,5.0,16.4,21.5,11.1,27.1,19.2,21.1,7.9,20.9,28.8,13.4,27.8,16.7,13.2,20.8,16.9,24.9,31.9,29.0,34.4,38.2,34.8,42.7
